MUNICIPI,DISTRICTE,SECCIO,MUNDISSEC,area,perimeter
"080193","02","073","08019302073",83283.3337402344,1228.76160907909
"080193","02","074","08019302074",64755.6895751953,1015.67440768232
"080193","02","075","08019302075",51509.04296875,909.802043768738
"080193","02","076","08019302076",75599.2178955078,1102.94747186258
"080193","02","077","08019302077",265783.712280273,2213.05296425195
"080193","02","078","08019302078",131286.213989258,1450.88439660188
"080193","02","079","08019302079",142927.606811523,1520.25759567409
"080193","02","080","08019302080",121925.255249023,1410.93933875448
"080193","02","081","08019302081",146390.212158203,1532.61899875097
"080193","02","082","08019302082",77779.8537597656,1135.22952334879
"080193","02","083","08019302083",133439.106323242,1499.73602397177
"080193","02","084","08019302084",71581.5301513672,1070.25622547069
"080193","02","085","08019302085",67346.7041015625,1069.93881863772
"080193","02","086","08019302086",47377.9448242188,987.708717999855
"080193","02","087","08019302087",36213.8006591797,806.289462717861
"080193","02","088","08019302088",53809.9157714844,1071.94302749304
"080193","02","089","08019302089",53713.7653808594,1071.08703918342
"080193","02","090","08019302090",53735.2056884766,1070.57173842681
"080193","02","091","08019302091",111271.049438477,1366.71805839305
"080193","02","092","08019302092",55445.7456054688,1098.508227316
"080193","02","093","08019302093",35879.6033935547,804.441136465927
"080193","02","094","08019302094",39902.8701171875,833.944879648522
"080193","02","095","08019302095",37908.3251953125,833.418951991589
"080193","02","096","08019302096",38470.0251464844,845.165209039436
"080193","02","097","08019302097",25284.1231689453,649.858120608002
"080193","02","098","08019302098",35837.0329589844,802.612689467133
"080193","02","099","08019302099",33249.5504150391,767.959365444156
"080193","02","100","08019302100",28546.0848388672,698.345240099122
"080193","02","101","08019302101",54091.3198242188,1075.24811863961
"080193","02","102","08019302102",30054.2147216797,787.747966435092
"080193","02","103","08019302103",77786.0206298828,1095.7749708277
"080193","02","104","08019302104",18319.3699951172,557.497576991382
"080193","02","105","08019302105",35888.2678222656,803.501310273654
"080193","02","106","08019302106",37737.2353515625,847.206355918186
"080193","02","107","08019302107",46976.5881347656,982.963837478815
"080193","02","108","08019302108",55149.7601318359,1082.75274654921
"080193","02","109","08019302109",52881.0671386719,1068.03419875066
"080193","02","110","08019302110",118042.141601562,1536.06295353773
"080193","02","111","08019302111",36727.6031494141,937.447813500268
"080193","02","112","08019302112",24843.2004394531,714.19525728834
"080193","02","113","08019302113",35615.3745117188,800.882635506668
"080193","02","114","08019302114",35932.9261474609,802.962020400808
"080193","02","115","08019302115",17807.7175292969,533.56603413737
"080193","02","116","08019302116",17940.6951904297,535.799284190185
"080193","02","117","08019302117",17766.8358154297,533.055319957299
"080193","02","118","08019302118",41074.4409179688,890.8758407353
"080193","02","119","08019302119",18134.5635986328,538.734200697313
"080193","02","120","08019302120",17956.1960449219,536.113461811899
"080193","02","121","08019302121",39820.1165771484,1017.46485944097
"080193","02","122","08019302122",17926.5853271484,535.718603933321
"080193","02","123","08019302123",17764.03515625,533.133820604299
"080193","02","124","08019302124",17962.28515625,536.195036716949
"080193","02","125","08019302125",27615.8685302734,712.396965515839
"080193","02","126","08019302126",29524.8084716797,749.419837308292
"080193","02","127","08019302127",66267.3349609375,1295.44388943127
"080193","02","128","08019302128",21183.3216552734,588.834273378948
"080193","02","129","08019302129",32286.7270507812,921.237263466718
"080193","02","130","08019302130",31887.306640625,771.194939928117
"080193","02","131","08019302131",17984.6845703125,537.284935594999
"080193","02","132","08019302132",17662.3785400391,531.649335696532
"080193","02","133","08019302133",23681.6135253906,627.260246596106
"080193","02","134","08019302134",19271.8034667969,560.248324834826
"080193","02","135","08019302135",35740.0607910156,802.125083782106
"080193","02","136","08019302136",14586.0548095703,490.200999913751
"080193","02","137","08019302137",27470.796875,684.157342678205
"080193","02","138","08019302138",39889.2153320312,844.119170081878
"080193","02","139","08019302139",29882.6892089844,721.128351993705
"080193","02","140","08019302140",35702.6726074219,802.27924363871
"080193","02","141","08019302141",17797.9079589844,533.593647099316
"080193","02","142","08019302142",35811.4110107422,803.327751273831
"080193","02","143","08019302143",35605.5081787109,799.770230567111
"080193","02","144","08019302144",39465.53125,829.305667204362
"080193","02","145","08019302145",39759.5826416016,832.297804504209
"080193","02","146","08019302146",19882.6810302734,565.171091295454
"080193","02","147","08019302147",35610.7509765625,800.018988055086
"080193","02","148","08019302148",107677.803100586,1344.59187368896
"080193","02","149","08019302149",60213.3026123047,1117.91508900351
"080193","02","150","08019302150",47480.0953369141,933.542812164255
"080193","02","151","08019302151",30283.9781494141,732.25236924066
"080193","02","152","08019302152",19896.3956298828,564.436808250983
"080193","02","153","08019302153",18219.6400146484,551.121028024597
"080193","02","154","08019302154",21234.8531494141,630.513385014132
"080193","02","155","08019302155",31365.7008056641,782.779396687487
"080193","02","156","08019302156",17776.1279296875,533.144144406678
"080193","02","157","08019302157",17915.2110595703,534.906105231189
"080193","02","158","08019302158",35735.3682861328,802.294431988847
"080193","02","159","08019302159",39673.5402832031,831.766095657642
"080193","02","160","08019302160",39558.1336669922,830.326893534426
"080193","02","161","08019302161",17763.7357177734,533.19211751469
"080193","02","162","08019302162",17888.0505371094,534.999650845172
"080193","02","163","08019302163",39763.5394287109,833.47109777591
"080193","02","164","08019302164",64723.625,1217.06055694767
"080193","02","165","08019302165",35748.0191650391,803.605849901736
"080193","02","166","08019302166",49496.2857666016,1087.13561669709
"080193","02","167","08019302167",33160.15234375,765.685270220624
"080193","02","168","08019302168",64475.3233642578,1319.32697369058
"080193","02","169","08019302169",36309.1702880859,825.258251212891
"080193","02","170","08019302170",30984.6746826172,787.459055237393
"080193","02","171","08019302171",28287.9565429688,968.25955578559
"080193","02","172","08019302172",35699.5565185547,801.627564584453
"080193","02","173","08019302173",31716.6203613281,774.22376670426
"080193","03","001","08019303001",22548.0913085938,634.997332258493
"080193","03","002","08019303002",28832.1298828125,748.28760181081
"080193","03","003","08019303003",21291.1546630859,691.101973534123
"080193","03","004","08019303004",30815.3905029297,820.251998692058
"080193","03","005","08019303005",84864.1905517578,1488.73510252492
"080193","03","006","08019303006",20040.3817138672,627.395880187484
"080193","03","007","08019303007",23013.0249023438,688.16464676675
"080193","03","008","08019303008",17543.755859375,629.723980156478
"080193","03","009","08019303009",18174.6136474609,577.795158063084
"080193","03","010","08019303010",24590.0583496094,639.797046232676
"080193","03","011","08019303011",20598.0832519531,634.329427528965
"080193","03","012","08019303012",29172.6488037109,719.181002322208
"080193","03","013","08019303013",21440.8095703125,653.511995621961
"080193","03","014","08019303014",20256.0885009766,679.804869750592
"080193","03","015","08019303015",44185.0078125,853.462509938418
"080193","03","016","08019303016",22065.2779541016,632.956569560631
"080193","03","017","08019303017",22568.869140625,761.644016028894
"080193","03","018","08019303018",20331.2408447266,576.551770012007
"080193","03","019","08019303019",58692.0922851562,1078.2026595995
"080193","03","020","08019303020",112352.979003906,1790.0435764909
"080193","03","021","08019303021",15404.9798583984,522.092883664795
"080193","03","022","08019303022",116385.150878906,1994.67589456215
"080193","03","023","08019303023",21893.3266601562,646.279510591557
"080193","03","024","08019303024",3795386.07250977,10496.4011980696
"080193","03","025","08019303025",14213722.8830566,44522.3604309027
"080193","03","026","08019303026",149879.111694336,1761.34385501639
"080193","03","027","08019303027",69462.1253662109,1283.0441067116
"080193","03","028","08019303028",117330.007080078,1593.31407060718
"080193","03","029","08019303029",26610.7529296875,817.198749331281
"080193","03","030","08019303030",155434.829956055,1862.81746318012
"080193","03","031","08019303031",56289.9486083984,925.72750986167
"080193","03","032","08019303032",128565.223388672,1772.85624157212
"080193","03","033","08019303033",23129.6973876953,678.704143817462
"080193","03","034","08019303034",14948.5196533203,659.963304913468
"080193","03","035","08019303035",21075.5885009766,885.760831912153
"080193","03","036","08019303036",69376.1208496094,1265.30835875575
"080193","03","037","08019303037",21085.0992431641,866.51302386262
"080193","03","038","08019303038",231760.768676758,2175.53850079012
"080193","03","039","08019303039",93518.9739990234,1614.05116458947
"080193","03","040","08019303040",53232.1226806641,994.959715968082
"080193","03","041","08019303041",20648.1429443359,587.700993499089
"080193","03","042","08019303042",114039.83581543,2328.95249041346
"080193","03","043","08019303043",32162.9501953125,777.559896880761
"080193","03","044","08019303044",28365.2027587891,731.883958509575
"080193","03","045","08019303045",29395.4055175781,687.010226937141
"080193","03","046","08019303046",24219.0328369141,639.742042455323
"080193","03","047","08019303047",57777.8548583984,1124.99045547895
"080193","03","048","08019303048",68439.6384277344,1271.87814426854
"080193","03","049","08019303049",45204.5849609375,1139.69083310746
"080193","03","050","08019303050",42772.2115478516,881.218395121616
"080193","03","051","08019303051",32517.7583007812,847.907648750408
"080193","03","052","08019303052",35567.8868408203,807.550474912616
"080193","03","053","08019303053",56079.74609375,1059.64072034924
"080193","03","054","08019303054",33012.0415039062,887.336061151292
"080193","03","055","08019303055",22862.0006103516,608.933535811991
"080193","03","056","08019303056",15973.5310058594,613.837655260067
"080193","03","057","08019303057",29123.8604736328,908.357465905786
"080193","03","058","08019303058",91638.3974609375,1651.05140746356
"080193","03","059","08019303059",17788.7822265625,582.718009547828
"080193","03","060","08019303060",28626.6292724609,788.644729689841
"080193","03","061","08019303061",20651.1066894531,796.660514901542
"080193","03","062","08019303062",31135.5756835938,704.141365961861
"080193","03","063","08019303063",124450.67175293,1628.89551209172
"080193","03","064","08019303064",95730.4100341797,1655.65386244641
"080193","03","065","08019303065",14664.4990234375,515.371174628325
