Nom municipi,Districte,Secció,Cens electoral,Votants,xcoord,ycoord,MUNICIPI,area,Turnout,Density
ALTAFULLA,1,2,1048,644,1.38254579809138,41.1369604933928,430120.0,1131000.8359375,0.6145038167938931,926.6129313965541
ALTAFULLA,1,3,1794,1244,1.36869460291367,41.1448101881843,430120.0,1132250.70495605,0.693422519509476,1584.4547432360723
ALÀS I CERC,1,1,262,167,1.52063299268892,42.3225089272749,250058.0,57453295.4949951,0.6374045801526718,4.560225792841134
ALÒS DE BALAGUER,1,1,104,62,0.94497081630075,41.9225763225718,250220.0,69076525.5750732,0.5961538461538461,1.5055765925425932
AMER,1,1,1788,1143,2.60193287618118,42.0104377276623,170078.0,39896950.4188232,0.639261744966443,44.81545534759543
L'AMETLLA DE MAR,1,1,1425,833,0.799006032838112,40.8810743606929,430136.0,353276.813842773,0.584561403508772,4033.6640961503945
L'AMETLLA DE MAR,1,2,999,570,0.803204166261695,40.8839419012212,430136.0,131278.362304688,0.5705705705705706,7609.784144636038
L'AMETLLA DE MAR,1,3,2108,1003,0.7658456520276324,40.8771459631778,430136.0,66555327.3139648,0.47580645161290325,31.67289659707968
L'AMETLLA DEL VALLÈS,1,1,1838,1065,2.24775136372684,41.6877942793235,80057.0,2694478.35864258,0.5794341675734495,682.1357440502676
L'AMETLLA DEL VALLÈS,1,2,1354,822,2.2619227580167,41.6701685131586,80057.0,911006.237304688,0.6070901033973413,1486.2686385177315
L'AMETLLA DEL VALLÈS,1,3,1905,1187,2.2482440109122903,41.6615455889697,80057.0,4028792.33435059,0.6230971128608924,472.84641200228833
L'AMETLLA DEL VALLÈS,1,4,872,526,2.24605008306085,41.6694134220721,80057.0,2487580.71826172,0.6032110091743119,350.5413889079101
L'AMETLLA DEL VALLÈS,1,5,607,312,2.26392676049574,41.6459359005635,80057.0,3903245.33728027,0.514003294892916,155.51161855046232
L'AMPOLLA,1,1,1200,683,0.688531976685496,40.7976452156531,439060.0,2704805.41870117,0.5691666666666667,443.6548343563406
L'AMPOLLA,1,2,981,553,0.690514136094979,40.8136120671141,439060.0,32948506.0212402,0.563710499490316,29.773732361874007
AMPOSTA,1,1,567,261,0.580956528074533,40.7138531980418,430141.0,98465.3002929688,0.4603174603174603,5758.373744994187
AMPOSTA,1,2,923,460,0.6891837687440305,40.65308636046565,430141.0,97230916.2536621,0.49837486457204766,9.492865392649597
AMPOSTA,2,1,720,381,0.577743493675499,40.7134800843396,430141.0,84369.7727050781,0.5291666666666667,8533.862032754585
AMPOSTA,2,2,623,247,0.567324965872573,40.7347728720098,430141.0,3043136.44641113,0.39646869983948635,204.72299253447022
AMPOSTA,3,1,794,357,0.57467029415153,40.7103718891213,430141.0,108056.321166992,0.44962216624685136,7348.019916141134
AMPOSTA,3,2,1423,623,0.557449140654292,40.7187068752997,430141.0,7545102.60949707,0.4378074490513001,188.59915810937554
AMPOSTA,4,1,947,443,0.578297147404678,40.7105702455702,430141.0,76432.4260253906,0.4677930306230201,12390.029327152455
AMPOSTA,4,2,1045,480,0.582411220829337,40.7082399291272,430141.0,247356.099731445,0.45933014354066987,4224.678514637636
AMPOSTA,4,3,1678,794,0.576615196415494,40.7082642603069,430141.0,144914.680175781,0.4731823599523242,11579.227156038243
AMPOSTA,4,4,2020,1011,0.548928027286799,40.6851236061793,430141.0,9214105.39794922,0.5004950495049505,219.22909634283005
AMPOSTA,4,5,1992,884,0.582670314142814,40.7044295489846,430141.0,189334.268066406,0.44377510040160645,10521.074818327856
AMPOSTA,4,6,1735,722,0.572083128851017,40.6699175425582,430141.0,20518797.6739502,0.4161383285302594,84.55661133608636
ANGLESOLA,1,1,971,569,1.05875235843316,41.6628859408197,250273.0,23672357.543335,0.5859938208032955,41.01830576960794
