MUNICIPI,DISTRICTE,SECCIO,MUNDISSEC,xcoord,ycoord
"080155","06","004","08015506004",2.24778787632209,41.4671336570294
"080155","06","005","08015506005",2.25007487743484,41.4671977994678
"080155","06","006","08015506006",2.25643761759342,41.4695127852975
"080155","07","001","08015507001",2.22800343209234,41.4405659739938
"080155","07","002","08015507002",2.23400070253412,41.4440283343958
"080155","07","003","08015507003",2.23520024167534,41.4455760869553
"080155","07","004","08015507004",2.23875838071224,41.4475953145858
"080155","07","005","08015507005",2.22613404677127,41.4420740350793
"080155","07","006","08015507006",2.2375544268494,41.4455196675373
"080155","07","007","08015507007",2.22228748569338,41.4456618120068
"080155","07","008","08015507008",2.22359071802111,41.4445150857792
"080155","07","009","08015507009",2.22417562009521,41.4472261073152
"080155","07","010","08015507010",2.2288855835217,41.4447146338309
"080155","07","011","08015507011",2.23061658217257,41.4474323914871
"080155","07","012","08015507012",2.22512276160512,41.4472288775655
"080155","07","013","08015507013",2.22422529151367,41.4454393647412
"080155","07","014","08015507014",2.22724375078012,41.448635641897
"080155","07","015","08015507015",2.22247418584902,41.4489819593571
"080155","07","017","08015507017",2.22299541820077,41.4480013659053
"080155","07","018","08015507018",2.22892024220145,41.449506738047
"080155","07","020","08015507020",2.22600611850576,41.4450619632309
"080155","07","021","08015507021",2.23138661640617,41.4420412428325
"080155","07","022","08015507022",2.23654485929226,41.4446205493316
"080155","07","023","08015507023",2.24051499682613,41.4468470332698
"080155","07","024","08015507024",2.23637381264425,41.4471622195265
"080155","07","028","08015507028",2.22380055748573,41.4432337050478
"080155","07","029","08015507029",2.23191447855724,41.4497892602153
"080155","07","030","08015507030",2.23375265507459,41.4477480577264
"080155","07","031","08015507031",2.22719837282201,41.4503426064917
"080155","08","001","08015508001",2.22296583067186,41.4503893196735
"080155","08","002","08015508002",2.22052630951517,41.4539054286715
"080155","08","003","08015508003",2.22230737378491,41.4607256193865
"080155","08","004","08015508004",2.2225544587823,41.4518076046784
"080155","08","005","08015508005",2.22704399853992,41.452491116023
"080155","08","006","08015508006",2.2301705894807,41.4512243665059
"080155","08","007","08015508007",2.22538049358885,41.4516471825591
"080155","08","008","08015508008",2.22297011304046,41.4535602565233
"080155","08","009","08015508009",2.23067799827963,41.4534721291035
"080155","08","011","08015508011",2.2295977820929,41.4525835055886
"080155","08","012","08015508012",2.22661715943113,41.4572137013295
"080155","08","013","08015508013",2.22883184579471,41.45145120444
"080155","09","001","08015509001",2.21973302483185,41.4331569143094
"080155","09","002","08015509002",2.22162127860445,41.4345907187353
"080155","09","003","08015509003",2.22710179314776,41.4313695783713
"080155","09","004","08015509004",2.22316445631396,41.4337484153291
"080155","09","005","08015509005",2.22363488942137,41.4362346406094
"080155","09","006","08015509006",2.22489958872331,41.4335631475456
"080155","09","008","08015509008",2.22750904655744,41.4357587586556
"080155","09","009","08015509009",2.22751794133764,41.4384343394849
"080155","09","010","08015509010",2.22615710332525,41.4365307221346
"080155","09","011","08015509011",2.22890505170381,41.4381307786484
"080155","09","012","08015509012",2.23216392429292,41.4360229832488
"080155","09","013","08015509013",2.22367002955524,41.4390092716136
"080155","09","014","08015509014",2.22070802212931,41.4398346799797
"080155","09","015","08015509015",2.21865123349391,41.4409508941515
"080155","09","016","08015509016",2.21979002151979,41.4424386743676
"080155","09","017","08015509017",2.22046394879018,41.4458849472519
"080155","09","018","08015509018",2.2147767491347,41.4407099155401
"080155","09","019","08015509019",2.21488073635004,41.4372817633391
"080155","09","020","08015509020",2.21591426843042,41.4362073261302
"080155","09","021","08015509021",2.2210920758992,41.4366816188645
"080155","09","022","08015509022",2.21947949196038,41.4402666971454
"080155","09","023","08015509023",2.22135750120523,41.4386576133703
"080155","09","024","08015509024",2.22420295768191,41.4403970549017
"080155","09","025","08015509025",2.21901754754403,41.4385362850448
"080155","09","026","08015509026",2.21781549552131,41.4376542501333
"080155","09","027","08015509027",2.21721303383188,41.4389679704794
"080155","09","028","08015509028",2.2176788570334,41.4430203310816
"080155","09","030","08015509030",2.23653278001841,41.4327812046479
"080155","09","031","08015509031",2.22208592093044,41.4425308740764
"080155","09","032","08015509032",2.22018666479521,41.4445650445083
"080155","09","033","08015509033",2.21621550253364,41.4406920360491
"080155","09","034","08015509034",2.21806681880763,41.4363105202382
"080155","09","035","08015509035",2.22292417049055,41.4374477767077
"080155","09","036","08015509036",2.22262148004366,41.4391173437187
"080155","09","037","08015509037",2.22536061593863,41.4404070308619
"080155","09","038","08015509038",2.22091385330034,41.4335258614653
"080155","09","042","08015509042",2.22619734726265,41.4329208551457
"080155","09","043","08015509043",2.22506615224638,41.4382664068116
"080155","09","044","08015509044",2.22536681895945,41.439188984645
"080155","09","045","08015509045",2.22388208155475,41.4413951202404
"080155","09","047","08015509047",2.21831495579795,41.4443485386629
"080155","09","049","08015509049",2.21672516719429,41.4341607609764
"080155","09","050","08015509050",2.22036629253064,41.437928734595
"080155","09","052","08015509052",2.222200111167,41.4400661146838
"080155","09","053","08015509053",2.21653585351293,41.439789449196
"080155","09","054","08015509054",2.2210162308067,41.4439729709953
"080155","09","057","08015509057",2.21931139337775,41.4354854188036
"080155","09","058","08015509058",2.21623955323838,41.4348821957212
"080155","09","059","08015509059",2.2177073735097,41.4330314897832
"080168","01","001","08016801001",1.69533191673411,42.281644640783
"080168","01","001","08016801001",1.87134579507497,42.2787696247302
"080174","01","001","08017401001",2.23686962536191,41.815072808116
"080174","01","002","08017401002",2.21019155571116,41.8183589900525
"080180","01","001","08018001001",1.87393038718327,41.8643650152277
"080180","01","002","08018001002",1.8751924294676,41.8603267331559
"080180","01","003","08018001003",1.86512684973335,41.8661069183498
"080193","01","001","08019301001",2.17725154400684,41.3743268249864
"080193","01","002","08019301002",2.17390420969007,41.3779114220864
"080193","01","003","08019301003",2.1719994704814,41.3757732412382
"080193","01","004","08019301004",2.16921506392798,41.3764113098119
