Nom municipi,Densitat,MUNICIPI
Castellar de la Ribera,2.18,250642
Castelldans,14.29,250674
Castellnou de Seana,41.3,250680
Castellserà,63.04,250707
Castelló de Farfanya,10.25,250693
Cava,1.07,250714
Cervera,169.38,250729
Cervià de les Garrigues,19.36,250735
Ciutadilla,12.24,250740
Clariana de Cardener,3.95,250753
Coll de Nargó,3.57,250772
Conca de Dalt,2.46,251615
Corbins,69.62,250788
Cubells,8.62,250791
Es Bòrdes,11.92,250576
Espot,3.76,250827
Estamariu,5.9,250886
Estaràs,7.43,250851
Esterri d'Àneu,94.59,250864
Esterri de Cardós,3.86,250870
Farrera,1.74,250899
Fondarella,143.7,250931
Foradada,7.1,250946
Fulleda,6.3,250978
Fígols i Alinyà,2.4,259084
Gavet de la Conca,2.87,250984
Gimenells i el Pla de la Font,20.07,259123
Golmés,111.75,250997
Granyanella,5.86,251039
Granyena de Segarra,9.26,251044
Granyena de les Garrigues,6.83,251057
Guimerà,10.5,251095
Guissona,400.44,251109
Guixers,1.99,251116
Gósol,3.66,251001
Isona i Conca Dellà,7.47,251155
Ivars d'Urgell,63.25,251137
Ivars de Noguera,12.25,251121
Ivorra,7.01,251142
Josa i Tuixén,1.51,259101
Juncosa,5.16,251180
Juneda,74.02,251193
La Granja d'Escarp,23.95,251023
Les,41.5,251214
Linyola,94.67,251229
Lladorre,1.61,251235
Lladurs,1.41,251240
Llardecans,6.73,251253
Llavorsí,5.05,251266
Lleida,661.34,251207
Lles de Cerdanya,2.63,251272
Llimiana,3.5,251288
Llobera,4.8,251291
Maials,15.92,251333
Maldà,7.23,251305
Massalcoreig,43.26,251312
Massoteres,8.12,251327
Menàrguens,40.05,251348
Miralcamp,92.95,251351
Mollerussa,2063.24,251370
Montellà i Martinet,10.51,251399
Montferrer i Castellbò,5.85,251403
Montgai,22.25,251386
Montoliu de Lleida,66.16,251425
Montoliu de Segarra,6.34,251410
Montornès de Segarra,7.8,251431
Nalec,9.68,251459
Naut Aran,7.18,250254
Navès,1.95,251462
Odèn,2.26,251484
Oliana,56.88,251497
Oliola,2.35,251500
Olius,17.9,251517
Organyà,61.68,251556
Os de Balaguer,7.21,251569
Ossó de Sió,7.72,251575
Penelles,17.1,251641
Peramola,6.17,251654
Pinell de Solsonès,2.12,251667
Pinós,2.74,251673
Ponts,86.69,251728
Prats i Sansor,33.64,251752
Preixana,18.0,251765
Preixens,14.56,251771
Prullans,10.66,251790
Puiggròs,28.08,251804
Puigverd d'Agramunt,13.47,251811
Puigverd de Lleida,107.92,251826
Rialb,10.13,251832
Ribera d'Ondara,7.94,259059
Ribera d'Urgellet,8.71,251850
Riner,5.58,251863
Riu de Cerdanya,7.56,259139
Rosselló,326.97,251898
Salàs de Pallars,16.11,251902
Sanaüja,11.48,251919
Sant Esteve de la Sarga,1.31,251961
Sant Guim de Freixenet,41.31,251924
Sant Guim de la Plana,14.6,251977
Sant Llorenç de Morunys,223.26,251930
Sant Martí de Riucorb,18.31,259025
Sant Ramon,26.32,251945
Sarroca de Bellera,1.33,252017
Sarroca de Lleida,8.48,252000
